accuracy,frequency,configuration,frequency_start,frequency_end
0.5125,4.5,1Hz width 11 channels,4,5
0.4375,4.5,1Hz width 11 channels,4,5
0.525,4.5,1Hz width 11 channels,4,5
0.55,4.5,1Hz width 11 channels,4,5
0.575,4.5,1Hz width 11 channels,4,5
0.4875,5.5,1Hz width 11 channels,5,6
0.4875,5.5,1Hz width 11 channels,5,6
0.4625,5.5,1Hz width 11 channels,5,6
0.4375,5.5,1Hz width 11 channels,5,6
0.5125,5.5,1Hz width 11 channels,5,6
0.4,6.5,1Hz width 11 channels,6,7
0.55,6.5,1Hz width 11 channels,6,7
0.4,6.5,1Hz width 11 channels,6,7
0.475,6.5,1Hz width 11 channels,6,7
0.55,6.5,1Hz width 11 channels,6,7
0.4625,7.5,1Hz width 11 channels,7,8
0.5625,7.5,1Hz width 11 channels,7,8
0.45,7.5,1Hz width 11 channels,7,8
0.4875,7.5,1Hz width 11 channels,7,8
0.5875,7.5,1Hz width 11 channels,7,8
0.5,8.5,1Hz width 11 channels,8,9
0.4875,8.5,1Hz width 11 channels,8,9
0.475,8.5,1Hz width 11 channels,8,9
0.5375,8.5,1Hz width 11 channels,8,9
0.6125,8.5,1Hz width 11 channels,8,9
0.4875,9.5,1Hz width 11 channels,9,10
0.55,9.5,1Hz width 11 channels,9,10
0.4375,9.5,1Hz width 11 channels,9,10
0.5375,9.5,1Hz width 11 channels,9,10
0.5375,9.5,1Hz width 11 channels,9,10
0.55,10.5,1Hz width 11 channels,10,11
0.6,10.5,1Hz width 11 channels,10,11
0.575,10.5,1Hz width 11 channels,10,11
0.6,10.5,1Hz width 11 channels,10,11
0.5875,10.5,1Hz width 11 channels,10,11
0.5125,11.5,1Hz width 11 channels,11,12
0.575,11.5,1Hz width 11 channels,11,12
0.575,11.5,1Hz width 11 channels,11,12
0.5625,11.5,1Hz width 11 channels,11,12
0.6,11.5,1Hz width 11 channels,11,12
0.5625,12.5,1Hz width 11 channels,12,13
0.525,12.5,1Hz width 11 channels,12,13
0.5,12.5,1Hz width 11 channels,12,13
0.5125,12.5,1Hz width 11 channels,12,13
0.6,12.5,1Hz width 11 channels,12,13
0.4625,13.5,1Hz width 11 channels,13,14
0.4625,13.5,1Hz width 11 channels,13,14
0.4875,13.5,1Hz width 11 channels,13,14
0.5375,13.5,1Hz width 11 channels,13,14
0.6,13.5,1Hz width 11 channels,13,14
0.4,14.5,1Hz width 11 channels,14,15
0.5,14.5,1Hz width 11 channels,14,15
0.5,14.5,1Hz width 11 channels,14,15
0.5375,14.5,1Hz width 11 channels,14,15
0.55,14.5,1Hz width 11 channels,14,15
0.4,15.5,1Hz width 11 channels,15,16
0.4125,15.5,1Hz width 11 channels,15,16
0.4875,15.5,1Hz width 11 channels,15,16
0.4875,15.5,1Hz width 11 channels,15,16
0.4375,15.5,1Hz width 11 channels,15,16
0.4875,5.5,3Hz width 11 channels,4,7
0.525,5.5,3Hz width 11 channels,4,7
0.5125,5.5,3Hz width 11 channels,4,7
0.5,5.5,3Hz width 11 channels,4,7
0.5,5.5,3Hz width 11 channels,4,7
0.4375,7.5,3Hz width 11 channels,6,9
0.55,7.5,3Hz width 11 channels,6,9
0.475,7.5,3Hz width 11 channels,6,9
0.4875,7.5,3Hz width 11 channels,6,9
0.5125,7.5,3Hz width 11 channels,6,9
0.4375,9.5,3Hz width 11 channels,8,11
0.475,9.5,3Hz width 11 channels,8,11
0.5,9.5,3Hz width 11 channels,8,11
0.6125,9.5,3Hz width 11 channels,8,11
0.575,9.5,3Hz width 11 channels,8,11
0.4375,11.5,3Hz width 11 channels,10,13
0.5375,11.5,3Hz width 11 channels,10,13
0.575,11.5,3Hz width 11 channels,10,13
0.5625,11.5,3Hz width 11 channels,10,13
0.675,11.5,3Hz width 11 channels,10,13
0.425,13.5,3Hz width 11 channels,12,15
0.5125,13.5,3Hz width 11 channels,12,15
0.525,13.5,3Hz width 11 channels,12,15
0.5375,13.5,3Hz width 11 channels,12,15
0.6125,13.5,3Hz width 11 channels,12,15
0.45,15.5,3Hz width 11 channels,14,17
0.525,15.5,3Hz width 11 channels,14,17
0.45,15.5,3Hz width 11 channels,14,17
0.5375,15.5,3Hz width 11 channels,14,17
0.525,15.5,3Hz width 11 channels,14,17
0.5125,7.0,6Hz width 11 channels,4,10
0.5,7.0,6Hz width 11 channels,4,10
0.475,7.0,6Hz width 11 channels,4,10
0.5375,7.0,6Hz width 11 channels,4,10
0.525,7.0,6Hz width 11 channels,4,10
0.475,11.0,6Hz width 11 channels,8,14
0.5,11.0,6Hz width 11 channels,8,14
0.5125,11.0,6Hz width 11 channels,8,14
0.6,11.0,6Hz width 11 channels,8,14
0.6,11.0,6Hz width 11 channels,8,14
0.4375,15.0,6Hz width 11 channels,12,18
0.475,15.0,6Hz width 11 channels,12,18
0.475,15.0,6Hz width 11 channels,12,18
0.475,15.0,6Hz width 11 channels,12,18
0.6375,15.0,6Hz width 11 channels,12,18
