accuracy,frequency,configuration,frequency_start,frequency_end
0.5125,4.5,1Hz width 11 channels,4,5
0.55,4.5,1Hz width 11 channels,4,5
0.475,4.5,1Hz width 11 channels,4,5
0.525,4.5,1Hz width 11 channels,4,5
0.55,4.5,1Hz width 11 channels,4,5
0.425,4.5,1Hz width 11 channels,4,5
0.4375,4.5,1Hz width 11 channels,4,5
0.4375,4.5,1Hz width 11 channels,4,5
0.5125,4.5,1Hz width 11 channels,4,5
0.5,4.5,1Hz width 11 channels,4,5
0.5375,5.5,1Hz width 11 channels,5,6
0.4875,5.5,1Hz width 11 channels,5,6
0.3875,5.5,1Hz width 11 channels,5,6
0.4625,5.5,1Hz width 11 channels,5,6
0.5,5.5,1Hz width 11 channels,5,6
0.4875,5.5,1Hz width 11 channels,5,6
0.425,5.5,1Hz width 11 channels,5,6
0.4625,5.5,1Hz width 11 channels,5,6
0.4,5.5,1Hz width 11 channels,5,6
0.4,5.5,1Hz width 11 channels,5,6
0.4625,6.5,1Hz width 11 channels,6,7
0.525,6.5,1Hz width 11 channels,6,7
0.45,6.5,1Hz width 11 channels,6,7
0.375,6.5,1Hz width 11 channels,6,7
0.45,6.5,1Hz width 11 channels,6,7
0.4125,6.5,1Hz width 11 channels,6,7
0.4125,6.5,1Hz width 11 channels,6,7
0.3875,6.5,1Hz width 11 channels,6,7
0.475,6.5,1Hz width 11 channels,6,7
0.425,6.5,1Hz width 11 channels,6,7
0.5,7.5,1Hz width 11 channels,7,8
0.625,7.5,1Hz width 11 channels,7,8
0.475,7.5,1Hz width 11 channels,7,8
0.3625,7.5,1Hz width 11 channels,7,8
0.4625,7.5,1Hz width 11 channels,7,8
0.4625,7.5,1Hz width 11 channels,7,8
0.5,7.5,1Hz width 11 channels,7,8
0.45,7.5,1Hz width 11 channels,7,8
0.5,7.5,1Hz width 11 channels,7,8
0.4375,7.5,1Hz width 11 channels,7,8
0.4625,8.5,1Hz width 11 channels,8,9
0.5,8.5,1Hz width 11 channels,8,9
0.5,8.5,1Hz width 11 channels,8,9
0.3625,8.5,1Hz width 11 channels,8,9
0.4625,8.5,1Hz width 11 channels,8,9
0.4375,8.5,1Hz width 11 channels,8,9
0.425,8.5,1Hz width 11 channels,8,9
0.5375,8.5,1Hz width 11 channels,8,9
0.475,8.5,1Hz width 11 channels,8,9
0.525,8.5,1Hz width 11 channels,8,9
0.5,9.5,1Hz width 11 channels,9,10
0.4625,9.5,1Hz width 11 channels,9,10
0.4875,9.5,1Hz width 11 channels,9,10
0.5625,9.5,1Hz width 11 channels,9,10
0.5,9.5,1Hz width 11 channels,9,10
0.475,9.5,1Hz width 11 channels,9,10
0.575,9.5,1Hz width 11 channels,9,10
0.6,9.5,1Hz width 11 channels,9,10
0.575,9.5,1Hz width 11 channels,9,10
0.5875,9.5,1Hz width 11 channels,9,10
0.6,10.5,1Hz width 11 channels,10,11
0.6,10.5,1Hz width 11 channels,10,11
0.6125,10.5,1Hz width 11 channels,10,11
0.5875,10.5,1Hz width 11 channels,10,11
0.6625,10.5,1Hz width 11 channels,10,11
0.625,10.5,1Hz width 11 channels,10,11
0.7125,10.5,1Hz width 11 channels,10,11
0.6125,10.5,1Hz width 11 channels,10,11
0.675,10.5,1Hz width 11 channels,10,11
0.725,10.5,1Hz width 11 channels,10,11
0.75,11.5,1Hz width 11 channels,11,12
0.7125,11.5,1Hz width 11 channels,11,12
0.725,11.5,1Hz width 11 channels,11,12
0.625,11.5,1Hz width 11 channels,11,12
0.75,11.5,1Hz width 11 channels,11,12
0.7625,11.5,1Hz width 11 channels,11,12
0.7375,11.5,1Hz width 11 channels,11,12
0.6375,11.5,1Hz width 11 channels,11,12
0.675,11.5,1Hz width 11 channels,11,12
0.7125,11.5,1Hz width 11 channels,11,12
0.7,12.5,1Hz width 11 channels,12,13
0.6375,12.5,1Hz width 11 channels,12,13
0.7,12.5,1Hz width 11 channels,12,13
0.675,12.5,1Hz width 11 channels,12,13
0.7,12.5,1Hz width 11 channels,12,13
0.65,12.5,1Hz width 11 channels,12,13
0.6375,12.5,1Hz width 11 channels,12,13
0.6375,12.5,1Hz width 11 channels,12,13
0.6875,12.5,1Hz width 11 channels,12,13
0.7,12.5,1Hz width 11 channels,12,13
0.6125,13.5,1Hz width 11 channels,13,14
0.55,13.5,1Hz width 11 channels,13,14
0.55,13.5,1Hz width 11 channels,13,14
0.5875,13.5,1Hz width 11 channels,13,14
0.4875,13.5,1Hz width 11 channels,13,14
0.6,13.5,1Hz width 11 channels,13,14
0.5125,13.5,1Hz width 11 channels,13,14
0.5375,13.5,1Hz width 11 channels,13,14
0.55,13.5,1Hz width 11 channels,13,14
0.575,13.5,1Hz width 11 channels,13,14
0.625,14.5,1Hz width 11 channels,14,15
0.5375,14.5,1Hz width 11 channels,14,15
0.6,14.5,1Hz width 11 channels,14,15
0.5625,14.5,1Hz width 11 channels,14,15
0.475,14.5,1Hz width 11 channels,14,15
0.575,14.5,1Hz width 11 channels,14,15
0.5875,14.5,1Hz width 11 channels,14,15
0.45,14.5,1Hz width 11 channels,14,15
0.5375,14.5,1Hz width 11 channels,14,15
0.5125,14.5,1Hz width 11 channels,14,15
0.5125,15.5,1Hz width 11 channels,15,16
0.525,15.5,1Hz width 11 channels,15,16
0.4625,15.5,1Hz width 11 channels,15,16
0.425,15.5,1Hz width 11 channels,15,16
0.5,15.5,1Hz width 11 channels,15,16
0.5125,15.5,1Hz width 11 channels,15,16
0.475,15.5,1Hz width 11 channels,15,16
0.475,15.5,1Hz width 11 channels,15,16
0.4875,15.5,1Hz width 11 channels,15,16
0.5125,15.5,1Hz width 11 channels,15,16
0.525,5.5,3Hz width 11 channels,4,7
0.5125,5.5,3Hz width 11 channels,4,7
0.375,5.5,3Hz width 11 channels,4,7
0.4875,5.5,3Hz width 11 channels,4,7
0.575,5.5,3Hz width 11 channels,4,7
0.425,5.5,3Hz width 11 channels,4,7
0.425,5.5,3Hz width 11 channels,4,7
0.475,5.5,3Hz width 11 channels,4,7
0.375,5.5,3Hz width 11 channels,4,7
0.4125,5.5,3Hz width 11 channels,4,7
0.4625,7.5,3Hz width 11 channels,6,9
0.5375,7.5,3Hz width 11 channels,6,9
0.4,7.5,3Hz width 11 channels,6,9
0.3875,7.5,3Hz width 11 channels,6,9
0.35,7.5,3Hz width 11 channels,6,9
0.425,7.5,3Hz width 11 channels,6,9
0.4125,7.5,3Hz width 11 channels,6,9
0.475,7.5,3Hz width 11 channels,6,9
0.4875,7.5,3Hz width 11 channels,6,9
0.45,7.5,3Hz width 11 channels,6,9
0.6,9.5,3Hz width 11 channels,8,11
0.525,9.5,3Hz width 11 channels,8,11
0.5625,9.5,3Hz width 11 channels,8,11
0.55,9.5,3Hz width 11 channels,8,11
0.6,9.5,3Hz width 11 channels,8,11
0.5125,9.5,3Hz width 11 channels,8,11
0.65,9.5,3Hz width 11 channels,8,11
0.6125,9.5,3Hz width 11 channels,8,11
0.6125,9.5,3Hz width 11 channels,8,11
0.6,9.5,3Hz width 11 channels,8,11
0.75,11.5,3Hz width 11 channels,10,13
0.65,11.5,3Hz width 11 channels,10,13
0.7,11.5,3Hz width 11 channels,10,13
0.6625,11.5,3Hz width 11 channels,10,13
0.7375,11.5,3Hz width 11 channels,10,13
0.6375,11.5,3Hz width 11 channels,10,13
0.725,11.5,3Hz width 11 channels,10,13
0.65,11.5,3Hz width 11 channels,10,13
0.6375,11.5,3Hz width 11 channels,10,13
0.725,11.5,3Hz width 11 channels,10,13
0.6625,13.5,3Hz width 11 channels,12,15
0.6,13.5,3Hz width 11 channels,12,15
0.6625,13.5,3Hz width 11 channels,12,15
0.7,13.5,3Hz width 11 channels,12,15
0.675,13.5,3Hz width 11 channels,12,15
0.625,13.5,3Hz width 11 channels,12,15
0.6375,13.5,3Hz width 11 channels,12,15
0.625,13.5,3Hz width 11 channels,12,15
0.5875,13.5,3Hz width 11 channels,12,15
0.6,13.5,3Hz width 11 channels,12,15
0.5625,15.5,3Hz width 11 channels,14,17
0.55,15.5,3Hz width 11 channels,14,17
0.575,15.5,3Hz width 11 channels,14,17
0.525,15.5,3Hz width 11 channels,14,17
